,Duration (in seconds),LocationLatitude,LocationLongitude,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q15,Q17,Q18,Q19,Q19.1,Q25,Q25_2_TEXT,Q27,Q27_3_TEXT,avg_score
0,97,42.33880615234375,-71.072601318359375,20 - 29,Female,Yes,Yes,Yes,Once a week,Chinese,"Uber Eats,DoorDash,GrubHub,Chowbus,Other",Other,1,1,1,1,1,Yes,,,,1.0
2,154,42.3737030029296875,-71.1284027099609375,20 - 29,Female,Yes,Yes,Yes,Less than once a week,Mexican,"Uber Eats,DoorDash,GrubHub",Uber Eats,0,0,1,0,1,"If No, please specify the reasons",I already ordered an hour back :P,"The food doesn't look appealing.,Other",Vegetarian,0.4
4,123,42.376800537109375,-71.06109619140625,20 - 29,Male,Yes,Yes,Yes,> 3 times a week,American,"Uber Eats,GrubHub,Postmates",Uber Eats,0,1,1,1,1,Yes,,The food doesn't look appealing.,,0.8
7,157,38.8578948974609375,-77.06020355224609375,20 - 29,Male,Yes,Yes,Yes,> 3 times a week,Chinese,"Uber Eats,DoorDash,GrubHub,Chowbus","Uber Eats,Chowbus",1,1,1,1,0,"If No, please specify the reasons",Not hungry at all.,The food doesn't look appealing.,,0.8
8,60,38.9521942138671875,-77.025299072265625,20 - 29,Female,Yes,Yes,Yes,Once a week,Chinese,Chowbus,Uber Eats,1,0,0,1,0,"If No, please specify the reasons",,The uncertainty of delivery time.,,0.4
9,122,31.054901123046875,121.34930419921875,20 - 29,Male,No,No,Yes,> 3 times a week,Chinese,Other,None of the above,1,0,1,1,1,Yes,,The food doesn't look appealing.,,0.8
12,73,50.916900634765625,-1.4219970703125,20 - 29,Male,Yes,Yes,Yes,Once a week,Chinese,Uber Eats,Uber Eats,1,1,1,1,1,Yes,,,,1.0
14,337,38.9521942138671875,-77.025299072265625,20 - 29,Female,Yes,Yes,Yes,2-3 times a week,Chinese,"Uber Eats,Other",Chowbus,1,1,1,1,1,"If No, please specify the reasons",just eat,The uncertainty of delivery time.,,1.0
16,41,40.7682952880859375,-73.98020172119140625,20 - 29,Male,Yes,Yes,Yes,> 3 times a week,Chinese,Chowbus,Chowbus,1,1,1,1,1,Yes,,,,1.0
17,261,42.4279937744140625,-71.061798095703125,20 - 29,Female,Yes,Yes,Yes,2-3 times a week,Chinese,"Uber Eats,Chowbus",None of the above,1,0,1,1,0,"If No, please specify the reasons",My boyfriend（Chenzhi Pan） is preparing dinner for me.,Other,no why,0.6
19,42,40.7682952880859375,-73.98020172119140625,<= 19,Female,Yes,Yes,Yes,> 3 times a week,Chinese,"Uber Eats,GrubHub,Chowbus",None of the above,1,1,1,1,1,Yes,,,,1.0
22,1023,40.7364044189453125,-73.86949920654296875,30 - 39,Female,Yes,Yes,Yes,Once a week,Chinese,"Uber Eats,DoorDash,GrubHub,Chowbus","Uber Eats,DoorDash,GrubHub",1,0,1,0,0,Yes,,The uncertainty of delivery time.,,0.4
24,71,38.8578948974609375,-77.06020355224609375,20 - 29,Female,Yes,Yes,Yes,> 3 times a week,Chinese,"Uber Eats,Chowbus,Other","Uber Eats,Chowbus",0,0,0,1,0,"If No, please specify the reasons",,The food doesn't look appealing.,,0.2
25,173,38.8892059326171875,-76.94170379638671875,20 - 29,Female,Yes,Yes,Yes,Less than once a week,Chinese,Chowbus,None of the above,1,1,0,1,0,"If No, please specify the reasons",Not hungry yet ,The food doesn't look appealing.,,0.6
29,421,31.054901123046875,121.34930419921875,30 - 39,Female,No,No,Yes,Once a week,Chinese,Other,None of the above,1,1,0,1,0,"If No, please specify the reasons",,Other,,0.6
30,90,1.30780029296875,103.681793212890625,20 - 29,Male,Yes,Yes,Yes,2-3 times a week,Chinese,Other,None of the above,1,1,1,1,0,Yes,,,,0.8
32,174,42.3634033203125,-71.07129669189453125,20 - 29,Male,Yes,Yes,Yes,> 3 times a week,American,"Uber Eats,GrubHub",Uber Eats,1,0,1,1,1,Yes,,The food doesn't look appealing.,,0.8
34,215,42.366302490234375,-71.0569000244140625,20 - 29,Female,Yes,Yes,Yes,> 3 times a week,Chinese,"Uber Eats,DoorDash,GrubHub,Postmates,Chowbus",Chowbus,1,1,1,1,0,Yes,,The food doesn't look appealing.,,0.8
36,199,31.054901123046875,121.34930419921875,30 - 39,Female,No,Yes,Yes,> 3 times a week,Fastfood,Uber Eats,Uber Eats,1,0,1,1,1,Yes,,The food doesn't look appealing.,,0.8
40,211,42.07550048828125,-76.00890350341796875,20 - 29,Female,Yes,Yes,Yes,2-3 times a week,Chinese,"Uber Eats,GrubHub,Chowbus","GrubHub,Chowbus",1,0,0,1,0,Yes,,The food doesn't look appealing.,,0.4
41,66,22.2794952392578125,114.14599609375,20 - 29,Male,Yes,Yes,Yes,2-3 times a week,Chinese,Other,None of the above,0,1,1,1,1,Yes,,The food doesn't look appealing.,,0.8
42,305,24.47979736328125,118.0819091796875,20 - 29,Male,Yes,Yes,Yes,> 3 times a week,Chinese,Chowbus,"Uber Eats,Chowbus",1,1,1,1,1,Yes,,,,1.0
43,120,32.06170654296875,118.777801513671875,20 - 29,Male,Yes,Yes,Yes,> 3 times a week,Chinese,"Uber Eats,DoorDash,Chowbus,Other",None of the above,1,0,1,1,0,Yes,,The food doesn't look appealing.,,0.6
44,66,22.533294677734375,114.13330078125,20 - 29,Female,Yes,Yes,Yes,> 3 times a week,Chinese,Postmates,GrubHub,1,1,1,1,1,Yes,,The food doesn't look appealing.,,1.0
